TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,6,6,20.0,0.0,9XX HAMILTON ST,Central Business District,491348.28,5458288.63
Theft from Vehicle,2018,9,2,19.0,0.0,9XX HAMILTON ST,Central Business District,491349.04,5458289.43
Theft from Vehicle,2018,7,19,10.0,35.0,9XX HAWKS AVE,Strathcona,493650.5,5458195.71
Break and Enter Commercial,2018,8,24,21.0,43.0,5XX W HASTINGS ST,Central Business District,491826.94,5459079.69
Theft from Vehicle,2018,2,14,11.0,30.0,RICHARDS ST / ROBSON ST,Central Business District,491427.1,5458601.67
Theft from Vehicle,2018,1,19,15.0,15.0,9XX HELMCKEN ST,Central Business District,490788.64,5458527.92
Theft from Vehicle,2018,5,7,17.0,30.0,9XX HELMCKEN ST,Central Business District,490788.64,5458527.92
Theft from Vehicle,2018,12,1,22.0,30.0,9XX HELMCKEN ST,Central Business District,490788.64,5458527.92
Mischief,2018,9,23,18.0,43.0,4XX E 53RD AVE,Sunset,493018.78,5452125.41
Theft from Vehicle,2018,10,20,17.0,40.0,9XX HOMER ST,Central Business District,491284.67,5458321.35
Theft from Vehicle,2018,8,17,22.0,0.0,9XX HOMER ST,Central Business District,491333.19,5458370.33
Theft from Vehicle,2018,9,17,20.0,30.0,9XX HOMER ST,Central Business District,491333.19,5458370.33
Theft from Vehicle,2018,4,2,21.0,0.0,9XX HOMER ST,Central Business District,491339.68,5458363.89
Theft from Vehicle,2018,10,1,0.0,0.0,9XX HOMER ST,Central Business District,491351.2,5458375.52
Theft from Vehicle,2018,1,11,22.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,1,12,13.0,10.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,4,9,0.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,4,9,20.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft of Vehicle,2018,12,23,21.0,0.0,5X W 11TH AVE,Mount Pleasant,492286.82,5456501.77
Theft from Vehicle,2018,4,19,20.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,5,18,0.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,6,16,6.0,51.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,8,6,19.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Break and Enter Residential/Other,2018,2,28,13.0,14.0,4XX DENMAN ST,Central Business District,490366.73,5460081.38
Break and Enter Residential/Other,2018,2,17,13.0,26.0,4XX DENMAN ST,Central Business District,490366.73,5460081.38
Break and Enter Residential/Other,2018,2,14,11.0,39.0,4XX DENMAN ST,Central Business District,490366.73,5460081.38
Break and Enter Residential/Other,2018,1,20,14.0,19.0,4XX DENMAN ST,Central Business District,490366.73,5460081.38
Break and Enter Residential/Other,2018,1,16,21.0,12.0,4XX DENMAN ST,Central Business District,490366.73,5460081.38
Theft from Vehicle,2018,8,25,22.0,0.0,32XX E 26TH AVE,Renfrew-Collingwood,497353.73,5454922.21
Theft from Vehicle,2018,12,12,8.0,30.0,10XX SEYMOUR ST,Central Business District,491069.62,5458384.03
Mischief,2018,1,26,18.0,0.0,31XX W 15TH AVE,Kitsilano,487312.66,5456231.0
Theft of Bicycle,2018,6,20,12.0,15.0,11XX E BROADWAY AVE,Mount Pleasant,494156.8,5456635.66
Theft of Bicycle,2018,8,2,7.0,26.0,30XX QUEBEC ST,Mount Pleasant,492496.47,5456167.51
Theft of Bicycle,2018,5,22,12.0,30.0,11XX E BROADWAY AVE,Mount Pleasant,494156.8,5456635.66
Theft from Vehicle,2018,12,18,0.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,11,15,21.0,0.0,12XX SEYMOUR ST,Central Business District,490893.9,5458194.75
Theft from Vehicle,2018,12,9,1.0,30.0,12XX SEYMOUR ST,Central Business District,490893.9,5458194.75
Mischief,2018,5,25,21.0,8.0,31XX W 14TH AVE,Kitsilano,487246.54,5456343.28
Offence Against a Person,2018,2,19,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,19,18.0,27.0,E 33RD AVE / ONTARIO ST,Riley Park,492330.0,5454205.0
Theft from Vehicle,2018,12,17,12.0,1.0,22XX E 50TH AVE,Victoria-Fraserview,495518.2,5452362.8
Theft of Vehicle,2018,5,7,18.0,30.0,5X NELSON ST,Central Business District,491599.57,5457991.39
Theft from Vehicle,2018,11,1,0.0,0.0,12XX TECUMSEH AVE,Shaughnessy,490385.85,5456039.67
Mischief,2018,4,8,12.0,0.0,31XX W 12TH AVE,Kitsilano,487331.55,5456533.59
Theft from Vehicle,2018,1,24,0.0,0.0,12XX THORNTON ST,Strathcona,493312.93,5458064.43
Theft from Vehicle,2018,2,15,1.0,0.0,12XX THURLOW ST,West End,490429.35,5458597.64
Theft from Vehicle,2018,12,22,20.0,0.0,12XX THURLOW ST,West End,490429.35,5458597.64
Theft from Vehicle,2018,5,17,22.0,30.0,11XX DAVIE ST,West End,490359.38,5458726.48
Theft of Bicycle,2018,6,15,9.0,55.0,11XX E 7TH AVE,Mount Pleasant,494087.34,5456832.62
Theft from Vehicle,2018,6,1,0.0,0.0,12XX VENABLES ST,Strathcona,494233.46,5458235.99
Other Theft,2018,3,30,19.0,52.0,12XX RICHARDS ST,Central Business District,490959.46,5458124.42
Other Theft,2018,4,25,11.0,6.0,12XX RICHARDS ST,Central Business District,490959.46,5458124.42
Theft of Vehicle,2018,1,30,17.0,30.0,29XX E 22ND AVE,Renfrew-Collingwood,496860.35,5455322.51
Theft of Vehicle,2018,1,18,17.0,0.0,5X LAKEWOOD DR,Grandview-Woodland,495512.96,5459062.82
Theft of Vehicle,2018,1,11,20.0,0.0,29XX E 22ND AVE,Renfrew-Collingwood,496860.35,5455322.51
Theft from Vehicle,2018,1,4,23.0,0.0,32XX E 26TH AVE,Renfrew-Collingwood,497507.78,5454930.37
Mischief,2018,9,23,1.0,39.0,4XX E 53RD AVE,Sunset,492898.48,5452119.91
Theft from Vehicle,2018,12,20,5.0,0.0,9XX HOMER ST,Central Business District,491352.91,5458377.25
Theft from Vehicle,2018,3,21,12.0,0.0,34XX E 26TH AVE,Renfrew-Collingwood,497839.84,5454926.07
Theft from Vehicle,2018,10,1,21.0,0.0,22XX E 51ST AVE,Victoria-Fraserview,495450.8,5452254.36
Theft from Vehicle,2018,4,11,10.0,30.0,9XX HOMER ST,Central Business District,491380.14,5458417.72
Break and Enter Residential/Other,2018,5,21,19.0,37.0,4XX CLARK DR,Strathcona,494387.54,5458725.21
Theft from Vehicle,2018,5,2,22.0,57.0,9XX HOMER ST,Central Business District,491386.63,5458411.29
Theft from Vehicle,2018,2,12,17.0,30.0,RICHARDS ST / ROBSON ST,Central Business District,491427.1,5458601.67
Theft from Vehicle,2018,5,12,1.0,0.0,9XX HOMER ST,Central Business District,491386.63,5458411.29
Theft from Vehicle,2018,5,12,1.0,30.0,9XX HOMER ST,Central Business District,491386.63,5458411.29
Mischief,2018,4,6,6.0,43.0,27XX E HASTINGS ST,Hastings-Sunrise,496593.17,5458716.82
Theft from Vehicle,2018,1,1,19.0,45.0,RICHARDS ST / ROBSON ST,Central Business District,491427.1,5458601.67
Theft from Vehicle,2018,8,17,18.0,0.0,9XX HOMER ST,Central Business District,491386.63,5458411.29
Theft from Vehicle,2018,10,28,19.0,22.0,9XX HOMER ST,Central Business District,491386.63,5458411.29
Theft from Vehicle,2018,12,13,1.0,0.0,9XX HOMER ST,Central Business District,491386.63,5458411.29
Theft of Bicycle,2018,9,3,18.0,0.0,30XX PRINCE EDWARD ST,Mount Pleasant,492978.44,5456104.48
Theft of Bicycle,2018,8,30,22.0,0.0,30XX POINT GREY RD,Kitsilano,487375.37,5457604.61
Theft from Vehicle,2018,12,17,0.0,0.0,22XX E 51ST AVE,Victoria-Fraserview,495502.16,5452253.28
Theft from Vehicle,2018,10,10,20.0,15.0,34XX E 26TH AVE,Renfrew-Collingwood,497910.46,5454916.01
Mischief,2018,12,6,9.0,29.0,4XX E 51ST AVE,Sunset,492902.62,5452320.37
Mischief,2018,9,2,2.0,46.0,GRANVILLE ST / HELMCKEN ST,Central Business District,490936.87,5458390.32
Theft from Vehicle,2018,7,9,22.0,0.0,22XX E 52ND AVE,Victoria-Fraserview,495521.58,5452152.57
Mischief,2018,12,26,22.0,0.0,4XX E 50TH AVE,Sunset,492924.18,5452436.71
Mischief,2018,6,18,23.0,47.0,GRANVILLE ST / HELMCKEN ST,Central Business District,490936.87,5458390.32
Mischief,2018,6,9,22.0,25.0,GRANVILLE ST / HELMCKEN ST,Central Business District,490936.87,5458390.32
Theft of Bicycle,2018,7,8,13.0,22.0,11XX DENMAN ST,West End,489786.13,5459493.89
Offence Against a Person,2018,7,2,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Residential/Other,2018,5,15,19.0,0.0,22XX FERNDALE ST,Grandview-Woodland,495742.05,5458540.6
Offence Against a Person,2018,9,23,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,5,29,22.0,10.0,9XX HORNBY ST,Central Business District,490964.18,5458709.68
Theft from Vehicle,2018,6,7,3.0,35.0,22XX E 53RD AVE,Victoria-Fraserview,495501.68,5452055.61
Theft from Vehicle,2018,4,4,8.0,0.0,9XX HORNBY ST,Central Business District,490977.68,5458722.94
Theft from Vehicle,2018,8,4,3.0,0.0,9XX HORNBY ST,Central Business District,490977.68,5458722.94
Theft from Vehicle,2018,9,7,6.0,0.0,9XX HORNBY ST,Central Business District,490977.68,5458722.94
Theft from Vehicle,2018,8,25,2.0,30.0,9XX HORNBY ST,Central Business District,490984.43,5458729.57
Mischief,2018,5,21,23.0,0.0,GRANVILLE ST / HELMCKEN ST,Central Business District,490936.87,5458390.32
Theft of Bicycle,2018,4,29,21.0,0.0,11XX DAVIE ST,West End,490448.73,5458635.32
Mischief,2018,4,11,18.0,0.0,31XX W 11TH AVE,Kitsilano,487334.02,5456632.64
Theft from Vehicle,2018,11,26,3.0,0.0,22XX E 53RD AVE,Victoria-Fraserview,495501.68,5452055.61
Theft of Bicycle,2018,11,16,16.0,40.0,30XX MAIN ST,Mount Pleasant,492636.14,5456173.95
Theft from Vehicle,2018,11,8,8.0,56.0,22XX E 54TH AVE,Victoria-Fraserview,495529.11,5451933.75
Theft from Vehicle,2018,4,4,23.0,40.0,9XX HORNBY ST,Central Business District,491026.85,5458758.4
